Poet,double-draft instances,size of corpus (characters),double-draft ratio,Monk
蘇廣文,0,168,0,
若虛,0,168,0,
李迥秀,0,164,0,
沈廷瑞,0,164,0,
盧從願,0,164,0,
馬逢,0,164,0,
趙居貞,0,160,0,
薛馧,0,160,0,
宋務光,0,160,0,
張旭,0,160,0,
趙征明,0,160,0,
張匯,0,160,0,
賈彥璋,0,160,0,
唐堯客,0,160,0,
趙氏1,0,160,0,
韋表微,0,160,0,
卿雲,0,160,0,
鄭鏦,0,160,0,
陳希烈,0,160,0,
善生,0,160,0,
崔翹,0,160,0,
成都醉道士,0,160,0,
劉太真,0,160,0,
李賓,0,160,0,
王光庭,0,160,0,
潘鹹,0,158,0,
周弘亮,1,156,0.00641025641,
許晝,1,156,0.00641025641,
羅紹威,0,155,0,
蘇源明,1,154,0.006493506494,
常楚老,0,154,0,
馮伉,1,152,0.006578947368,
張辭,1,152,0.006578947368,
吉師老,1,152,0.006578947368,
盧懷慎,0,152,0,
孫思邈,0,152,0,
畢耀,0,152,0,
鄭良士,0,152,0,
許孟容,0,152,0,
柳曾,3,151,0.01986754967,
豆盧回,0,151,0,
孫合,0,150,0,
臨淄縣主,0,150,0,
于逖,0,150,0,
崔宗之,0,150,0,
溫憲,2,148,0.01351351351,
林藻,1,148,0.006756756757,
湛賁,0,148,0,
尹懋,0,148,0,
彭伉,0,148,0,
李貞白,2,147,0.01360544218,
李如璧,1,147,0.006802721088,
富嘉謨,0,147,0,
劉乙,1,146,0.006849315068,
胡玢,0,146,0,
楊牢,0,146,0,
王表,0,144,0,
李叔卿,1,142,0.007042253521,
原陵老翁,1,141,0.007092198582,
東方虯,2,140,0.01428571429,
吳清妻,2,140,0.01428571429,
令狐峘,1,140,0.007142857143,
虎丘石壁鬼,1,140,0.007142857143,
蘇晉,1,140,0.007142857143,
韋夏卿,0,140,0,
朱逵,0,140,0,
楊希道,0,140,0,
殷潛之,0,140,0,
杜正倫,0,140,0,
潘孟陽,0,140,0,
寇坦,0,140,0,
戴公懷,0,140,0,
平曾,0,140,0,
路應,0,140,0,
馬令,0,140,0,
李宏皋,0,140,0,
劉瑤,0,140,0,
水府君,0,140,0,
易思,0,140,0,
李縝,0,140,0,
蕭嵩,0,140,0,
同穀子,0,140,0,
蔡瑰,0,140,0,
韋建,0,140,0,
李元紘,0,140,0,
趙鸞鸞,0,140,0,
魏扶,0,139,0,
李棲筠,1,138,0.007246376812,
趙彥伯,0,137,0,
李憕,0,136,0,
長孫無忌,0,136,0,
曇域,0,136,0,
顧在鎔,0,136,0,
張濯,0,136,0,
惟審,0,136,0,
詹琲,0,136,0,
崔仲容,3,134,0.0223880597,
陳通方,0,134,0,
蕭遘,0,134,0,
陳至,0,134,0,
湘中蛟女,0,133,0,
劉皂,3,132,0.02272727273,
知玄,2,132,0.01515151515,
鄭綮,1,130,0.007692307692,
崔萱,0,130,0,
翁宏,0,130,0,
裴耀卿,0,130,0,
王揆,0,130,0,
李懷遠,0,130,0,
張瀛,1,129,0.007751937984,
錢鏐,4,128,0.03125,
孫偓,0,128,0,
崔知賢,0,128,0,
郭子儀,0,128,0,
神穎,0,128,0,
褚朝陽,0,128,0,
李夢符,2,126,0.01587301587,
許碏,2,126,0.01587301587,
關盼盼,2,126,0.01587301587,
白敏中,0,126,0,
潘佑,0,126,0,
柳公權,2,124,0.01612903226,
趙牧,0,124,0,
鄭史,0,124,0,
裴諧,1,122,0.008196721311,
張萬頃,0,122,0,
柴宿,0,121,0,
劉采春,2,120,0.01666666667,
澹交,2,120,0.01666666667,
謝勮,1,120,0.008333333333,
裴守真,1,120,0.008333333333,
胡元范,1,120,0.008333333333,
李深,1,120,0.008333333333,
沈如筠,1,120,0.008333333333,
鄭審,0,120,0,
清遠道士,0,120,0,
許稷,0,120,0,
許康佐,0,120,0,
顏粲,0,120,0,
鄭蕡,0,120,0,
李夷簡,0,120,0,
王邕,0,120,0,
黎逢,0,120,0,
張宣明,0,120,0,
孫頠,0,120,0,
韋安石,0,120,0,
宋鼎,0,120,0,
法照,0,120,0,
張少博,0,120,0,
沈徽,0,120,0,
陳昌言,0,120,0,
穆寂,0,120,0,
呂敞,0,120,0,
周存,0,120,0,
葉法善,0,120,0,
侯冽,0,120,0,
沈東美,0,120,0,
崔善為,0,120,0,
劉辟,0,120,0,
李岑2,0,120,0,
錢眾仲,0,120,0,
陳光,0,120,0,
陳季,0,120,0,
朱仲晦,0,120,0,
郭遵,0,120,0,
豐幹,0,120,0,
席夔,0,120,0,
張眾甫,0,120,0,
蕭昕,0,120,0,
張嗣初,0,120,0,
李夐,0,120,0,
李延陵,0,120,0,
張友正,0,120,0,
劉綺莊,0,120,0,
鄭常,0,120,0,
石殷士,0,120,0,
嚴巨川,0,120,0,
劉迥,0,120,0,
陳嘉言,0,120,0,
李沛,0,120,0,
喬備,0,120,0,
陳政,0,120,0,
張隨,0,120,0,
薛戎,0,120,0,
崔樞,0,120,0,
員南溟,0,120,0,
羊滔,0,120,0,
羅讓,0,120,0,
趙蕃,0,120,0,
張正元,0,120,0,
楊思玄,0,120,0,
閻立本,1,118,0.008474576271,
狄煥,1,118,0.008474576271,
張琰,0,118,0,
許岷,0,118,0,
廖凝,0,118,0,
封敖,0,117,0,
張元一,0,117,0,
周渭,1,116,0.008620689655,
蔣維翰,1,116,0.008620689655,
陳翥,1,116,0.008620689655,
裴諴,1,116,0.008620689655,
武少儀,1,116,0.008620689655,
常浩,1,116,0.008620689655,
金厚載,0,116,0,
王甚夷,0,116,0,
李絳,0,116,0,
戈牢,0,116,0,
盧渥,0,116,0,
元萬頃,0,116,0,
張佐,0,116,0,
王武陵,0,116,0,
馮宿,0,116,0,
孟昶,0,115,0,
春台仙,0,114,0,
王鎔,1,113,0.008849557522,
姜皎,3,112,0.02678571429,
柳棠,2,112,0.01785714286,
步非煙,2,112,0.01785714286,
何光遠,1,112,0.008928571429,
薑晞,1,112,0.008928571429,
伍唐珪,1,112,0.008928571429,
